user_id,restaurant_id,message
17,34,Food was so-so but waiter was fantastic. Check-splitting is an option!
11,31,Food is great! Service could be better.
13,32,Incredible and friendly service but the food leaves a lot to be desired.
10,13,Waiters almost always willing to split the check. The live music and good food will have me coming back again.
16,7,Short-staffed and long waits but the food is worth it!
17,3,Not worth the long wait times...my food was overcooked and the waiter was rude. Never going back!
13,44,Food is great! Service could be better.
17,31,The waiters are rude and are not always willing to check-split but the food is just too amazing to miss out on.
16,48,Great atmosphere but you cannot always split the check.
6,15,Most waiters are happy to split the check. And hands down the best pizza in New England!
3,30,Waiters almost always willing to split the check. The live music and good food will have me coming back again.
13,15,Incredible and friendly service but the food leaves a lot to be desired.
14,45,The waiters are rude and are not always willing to check-split but the food is just too amazing to miss out on.
20,47,Great atmosphere and open-mic nights every weekend. The nachos were SO good!
19,28,The waiters are rude and are not always willing to check-split but the food is just too amazing to miss out on.
6,2,Great atmosphere and open-mic nights every weekend. The nachos were SO good!
17,13,The waiters are rude and are not always willing to check-split but the food is just too amazing to miss out on.
20,10,Food was so-so but waiter was fantastic. Check-splitting is an option!
6,35,Great atmosphere but you cannot always split the check.
